Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Congo, Rep. of",Millions,, , , , , , , , , , , , , ,64812.60 ,70384.68 ,79051.53 ,83349.84 ,87635.19 ,94624.93 ,99603.03 ,104912.49 ,115333.48 ,133139.41 ,146222.19 ,177580.29 ,201633.80 ,215934.45 ,226217.04 ,251733.08 ,322519.60 ,457494.21 ,482358.35 ,508573.82 ,536214.06 ,565356.51 ,596082.81 ,628479.04 ,662635.96 ,698649.26 ,790558.83 ,792040.00 ,856262.93 ,868307.50 ,850510.65 ,1148313.26 ,1226473.27 ,1452993.06 ,1498784.52 ,1321287.53 ,1627098.91 ,2580266.48 ,2226897.31 ,2320858.30 ,2240806.97 ,2690990.12 ,3506269.00 ,4217179.00 ,4203698.00 ,5195837.00 ,4572804.99 ,6505751.32 ,7377577.60 ,9033228.00 ,8869805.40 ,8844629.47 ,7029660.32 ,6021963.75 ,6453235.43 ,7577812.67 ,7493809.07 ,5936526.54 , 
Costa Rica,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,881040.10 ,1151917.90 ,1362412.40 ,1647124.70 ,2079862.90 ,2425725.60 ,2934156.50 ,3519453.80 ,4072330.20 ,4627050.50 ,5254084.50 ,5965391.30 ,6885560.00 ,8150137.80 ,9577022.20 ,11613320.00 ,13889052.90 ,16208974.70 ,17626147.70 ,19802010.60 ,21623524.60 ,23752868.60 ,25462954.60 ,28001327.60 ,30171918.90 ,32056288.20 ,34343647.50 ,36014718.70 ,37832149.80 ,36356271.50 ,39993109.70 
CÃ´te d'Ivoire,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27086200.00 ,28423900.00 ,29955000.00 ,32222300.00 ,34298900.00 ,35193000.00 , 
"Croatia, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,118827.51 ,130828.33 ,148415.65 ,164127.44 ,168386.92 ,180782.42 ,194138.02 ,213122.26 ,234578.36 ,253193.90 ,272357.48 ,296914.77 ,324783.33 ,349157.25 ,333332.50 ,332222.89 ,337571.78 ,334591.92 ,335955.16 ,335292.15 ,344034.41 ,355920.33 ,372354.87 ,390855.98 ,412228.31 ,378341.17 ,430621.02 
Cyprus,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7678.31 ,7979.50 ,8373.44 ,9059.78 ,9731.56 ,10594.98 ,11416.89 ,11877.04 ,12845.29 ,13856.44 ,14822.31 ,16000.02 ,17511.58 ,19009.58 ,18675.49 ,19409.97 ,19803.03 ,19440.78 ,17994.97 ,17430.16 ,17883.96 ,18929.34 ,20245.26 ,21612.60 ,23009.94 ,21617.93 ,23436.70 
Czech Rep.,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1596306.00 ,1829255.00 ,1971024.00 ,2156624.00 ,2252983.00 ,2386289.00 ,2579126.00 ,2690982.00 ,2823452.00 ,3079207.00 ,3285601.00 ,3530881.00 ,3859533.00 ,4042860.00 ,3954320.00 ,3992870.00 ,4062323.00 ,4088912.00 ,4142811.00 ,4345766.00 ,4625378.00 ,4796873.00 ,5110743.00 ,5409665.00 ,5790348.00 ,5694387.00 ,6120632.00 
Denmark,Millions,, , , , , , , , , , , , , , , , ,82414.20 ,90845.93 ,101291.80 ,115611.77 ,128065.93 ,141736.37 ,161448.78 ,185904.93 ,208204.50 ,232574.03 ,269461.27 ,298865.34 ,332877.42 ,370196.80 ,400867.64 ,440780.42 ,503383.99 ,554596.53 ,612129.30 ,663955.25 ,712645.25 ,748427.48 ,777843.99 ,821733.90 ,855557.15 ,890550.72 ,923014.18 ,928466.13 ,993286.48 ,1036482.55 ,1088023.69 ,1146129.39 ,1185987.56 ,1241520.75 ,1326911.50 ,1371526.22 ,1410271.03 ,1436751.24 ,1506000.80 ,1585984.17 ,1682260.21 ,1738845.30 ,1801469.91 ,1722142.51 ,1810925.60 ,1846853.61 ,1895002.25 ,1929677.03 ,1981164.99 ,2036356.22 ,2107808.22 ,2192960.00 ,2253316.25 ,2318041.86 ,2329561.40 ,2496639.91 
Djibouti,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,112800.00 ,115400.00 ,119300.00 ,116300.00 ,122700.00 ,124200.00 ,123200.00 ,125400.00 ,128300.00 ,134900.00 ,138700.00 ,144100.00 ,148700.00 ,156500.00 ,166200.00 ,176800.00 ,191800.00 ,211500.00 ,245400.00 ,253200.00 ,274100.00 ,309000.00 ,337700.00 ,363100.00 ,393900.00 ,434600.00 ,465400.00 ,491700.00 ,535400.00 ,594700.00 ,611300.00 , 
Dominica,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1333.33 ,1352.77 ,1312.19 ,1345.40 ,1405.16 ,1459.99 ,1555.82 ,1408.19 ,1497.88 ,1651.15 ,1361.38 , 
Dominican Rep.,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,214122.96 ,235250.33 ,280362.82 ,318648.99 ,350520.12 ,393302.97 ,427319.07 ,477430.19 ,628611.04 ,935984.73 ,1083445.00 ,1261399.67 ,1458416.52 ,1661642.68 ,1736041.06 ,1983201.68 ,2210213.93 ,2386016.25 ,2619769.70 ,2925665.10 ,3205655.14 ,3487292.51 ,3802655.77 ,4235846.77 ,4562235.08 ,4456657.38 , 
Ecuador,Millions,,483.00 ,517.40 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51007.78 ,61762.64 ,62519.69 ,69555.37 ,79276.66 ,87924.54 ,95129.66 ,101726.33 ,99290.38 ,99937.70 ,104295.86 ,107562.01 ,108108.01 ,99291.12 , 
"Egypt, Arab Rep. of",Millions,, , , , , , , , , , , , ,1726.89 ,1841.21 ,1967.13 ,2324.12 ,2831.07 ,2987.01 ,3000.11 ,3270.97 ,3458.13 ,3740.11 ,3965.62 ,4080.44 ,4754.22 ,5962.62 ,7050.15 ,8632.62 ,10290.79 ,13159.22 ,16466.10 ,18032.10 ,21335.00 ,26077.70 ,29321.70 ,34188.70 ,37853.10 ,54151.00 ,64770.90 ,80753.30 ,101046.80 ,116924.10 ,146260.30 ,165169.00 ,184008.30 ,214501.00 ,241208.50 ,270439.60 ,302194.10 ,323433.90 ,357606.90 ,377164.30 ,398404.20 ,438991.10 ,510281.20 ,566219.70 ,649496.60 ,783139.10 ,941596.50 ,1095848.00 ,1268710.60 ,1441678.40 ,1674700.00 ,1860400.00 ,2130000.00 ,2443900.00 ,2709400.00 ,3470000.00 ,4437400.00 ,5322100.00 ,5842500.00 , 
El Salvador,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14698.00 ,15999.89 ,17011.75 ,17986.89 ,17601.62 ,18447.92 ,20283.78 ,21386.15 ,21990.96 ,22593.47 ,23438.24 ,24191.43 ,24979.19 ,26020.85 ,26896.66 ,24638.72 , 
"Equatorial Guinea, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5274150.00 ,6264840.00 ,8844110.00 ,7095920.00 ,8072290.00 ,10064600.00 ,11430500.00 ,10840500.00 ,10746900.00 ,7795420.00 ,6661366.44 ,7084543.00 ,7274689.04 ,6689508.95 ,5768440.49 , 
"Eritrea, The State of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1696.00 ,1956.00 ,2670.00 ,3052.00 ,3683.00 ,4138.00 ,4611.00 ,5008.00 ,5262.00 ,6585.00 ,7878.00 ,9347.00 ,11834.00 ,13064.00 ,14411.00 ,15682.00 ,14186.00 ,19936.00 ,24439.00 ,31749.00 ,34669.00 ,30104.00 ,40040.00 ,30953.00 ,33366.00 ,28702.00 ,30235.00 ,29876.00 ,31415.00 , 
"Estonia, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2861.64 ,3679.97 ,4573.00 ,5100.43 ,5406.89 ,6171.64 ,6987.07 ,7822.58 ,8744.43 ,9777.46 ,11343.27 ,13568.93 ,16401.33 ,16618.06 ,14131.86 ,14741.10 ,16677.26 ,17916.68 ,18910.78 ,20048.23 ,20631.36 ,21747.91 ,23833.61 ,25817.68 ,27732.29 ,26834.52 ,30660.09 
"Eswatini, Kingdom of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11630.00 ,13482.00 ,13871.00 ,16348.00 ,17461.00 ,18601.00 ,23688.00 ,26511.00 ,27550.00 ,30761.00 ,31562.00 ,34897.00 ,38868.00 ,42560.00 ,48436.00 ,53620.00 ,57167.00 ,60325.00 ,60579.00 ,66137.00 ,68174.00 , 
"Ethiopia, The Federal Dem. Rep. of",Millions,, , , , , , , , , , , ,4377.91 ,4557.78 ,4779.01 ,5264.65 ,5860.00 ,6084.83 ,6482.33 ,6901.42 ,7295.32 ,8023.78 ,8471.64 ,8532.80 ,9004.04 ,9986.10 ,9933.94 ,10799.10 ,12277.59 ,13067.19 ,14367.62 , , , , , , , , , , , , , , , , , , , , ,65986.25 ,67351.03 ,65895.00 ,72703.00 ,85800.00 ,105415.00 ,130334.00 ,170281.00 ,245836.00 ,332060.00 ,379135.00 ,515079.00 ,747327.00 ,866921.00 ,1060830.00 ,1297960.00 ,1568097.45 ,1832785.96 ,2200120.59 ,2690751.35 ,3374349.17 , 
Euro Area,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5741000.98 ,5984797.59 ,6129357.16 ,6379579.65 ,6671446.56 ,7022525.56 ,7351794.99 ,7600741.51 ,7820333.82 ,8153458.47 ,8444524.07 ,8893188.02 ,9386833.19 ,9620164.20 ,9272325.40 ,9533184.25 ,9797236.21 ,9836961.36 ,9935447.41 ,10168543.28 ,10522115.64 ,10816231.24 ,11222413.84 ,11600283.68 ,11984249.98 ,11405448.05 ,12253898.39 
"Fiji, Rep. of",Millions,,38.50 ,44.70 , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,983.70 ,1056.00 ,1113.40 ,1142.20 ,1275.30 ,1316.40 ,1461.70 ,1465.20 ,1587.60 ,1754.30 ,1980.00 ,2042.00 ,2303.20 ,2522.50 ,2673.10 ,2770.90 ,2987.20 ,3017.60 ,3284.50 ,3814.10 ,3572.30 ,3762.00 ,4009.20 ,4361.20 ,4693.10 ,5040.00 ,5325.70 ,5440.10 ,5614.90 ,5614.10 ,6024.40 ,6768.50 ,7109.50 ,7715.70 ,9167.00 ,9822.10 ,10327.30 ,11065.00 ,11650.50 ,11874.10 ,9747.09 , 
Finland,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33657.00 ,38067.00 ,42803.00 ,47752.00 ,53460.00 ,58245.00 ,62693.00 ,67716.00 ,76723.00 ,85891.00 ,90959.00 ,86899.00 ,84782.00 ,85708.00 ,90749.00 ,98549.00 ,102083.00 ,110807.00 ,120474.00 ,126916.00 ,136442.00 ,144628.00 ,148486.00 ,151749.00 ,158758.00 ,164687.00 ,172897.00 ,187072.00 ,194265.00 ,181747.00 ,188143.00 ,197998.00 ,201037.00 ,204321.00 ,206897.00 ,211385.00 ,217518.00 ,226301.00 ,233468.00 ,239852.00 ,237995.00 ,252934.00 
France,Millions,,15513.00 ,19542.00 ,22771.00 ,23616.00 ,25082.00 ,26958.00 ,29714.00 ,33545.00 ,38729.00 ,42263.00 ,46834.00 ,50775.00 ,56906.00 ,63794.00 ,70755.00 ,76422.00 ,82826.00 ,89545.00 ,97683.00 ,112366.00 ,125698.00 ,140192.00 ,156487.00 ,179495.00 ,209367.00 ,235876.00 ,272612.00 ,306807.00 ,348615.00 ,398210.00 ,451770.00 ,509985.00 ,585989.00 ,650512.00 ,707030.00 ,757689.00 ,814596.00 ,855983.00 ,925215.00 ,997121.00 ,1053546.00 ,1091705.00 ,1130983.00 ,1142119.00 ,1179867.00 ,1218273.00 ,1252266.00 ,1292777.00 ,1351896.00 ,1400999.00 ,1478585.00 ,1538200.00 ,1587829.00 ,1630666.00 ,1704019.00 ,1765905.00 ,1848151.00 ,1941360.00 ,1992380.00 ,1936422.00 ,1995289.00 ,2058369.00 ,2088804.00 ,2117189.00 ,2149765.00 ,2198432.00 ,2234129.00 ,2297242.00 ,2363306.00 ,2437635.00 ,2302860.00 ,2483616.00 
Gabon,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3679000.00 ,3701300.00 ,3776200.00 ,4097500.00 ,4989300.00 ,5309400.00 ,5961600.00 ,6944800.00 ,5738100.00 ,7111500.00 ,8581600.00 ,8766500.00 ,8690500.00 ,8988300.00 ,8503400.00 ,8310600.00 ,8669100.00 ,9368900.00 ,9886900.00 ,8816100.00 , 
"Gambia, The",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,28885.96 ,29367.00 ,29584.43 ,31830.61 ,34659.28 ,38638.12 ,43230.71 ,41531.72 ,45389.30 ,49463.60 ,51309.08 ,58581.06 ,64389.94 ,70142.19 ,80445.80 ,90793.76 ,94269.38 , 
Georgia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3868.48 ,4554.93 ,5022.10 ,5668.70 ,6043.06 ,6674.00 ,7456.03 ,8564.09 ,9824.30 ,11620.94 ,13789.91 ,16993.78 ,19074.85 ,17985.95 ,21821.57 ,25478.72 ,27227.33 ,28593.05 ,31124.10 ,33935.02 ,35836.02 ,40761.66 ,44599.34 ,49252.65 ,49266.74 , 
Germany,Millions,, , , , , , , , , , , , , , , , , , , , ,360600.00 ,400240.00 ,436370.00 ,486020.00 ,526020.00 ,551010.00 ,597400.00 ,636540.00 ,678940.00 ,737370.00 ,788520.00 ,825790.00 ,860210.00 ,898270.00 ,942000.00 ,984410.00 ,1037130.00 ,1065130.00 ,1123290.00 ,1200660.00 ,1306680.00 ,1585800.00 ,1702060.00 ,1750890.00 ,1829550.00 ,1894610.00 ,1921380.00 ,1961150.00 ,2014420.00 ,2059480.00 ,2109090.00 ,2172540.00 ,2198120.00 ,2211570.00 ,2262520.00 ,2288310.00 ,2385080.00 ,2499550.00 ,2546490.00 ,2445730.00 ,2564400.00 ,2693560.00 ,2745310.00 ,2811350.00 ,2927430.00 ,3026180.00 ,3134740.00 ,3267160.00 ,3367860.00 ,3473350.00 ,3367560.00 ,3570620.00 
Ghana,Millions,,0.05 ,0.05 ,0.06 ,0.05 ,0.06 , , , , , , , ,0.38 ,0.26 ,0.30 ,0.38 ,0.43 ,0.39 ,0.44 ,0.50 ,0.55 ,0.61 ,0.69 ,0.86 ,1.14 ,1.30 ,1.65 ,2.74 ,5.14 ,6.92 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,123650.00 ,155432.50 ,180399.00 ,215077.00 ,256671.40 ,300596.10 ,349480.40 , , 
Greece,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,93063.60 ,103036.64 ,114712.18 ,125262.55 ,133788.73 ,141247.28 ,152193.84 ,163460.76 ,178904.90 ,193715.82 ,199242.31 ,217861.57 ,232694.59 ,241990.39 ,237534.18 ,224124.03 ,203308.22 ,188380.64 ,179884.38 ,177235.98 ,176368.86 ,174494.18 ,176903.37 ,179557.68 ,183250.40 ,165326.43 ,182830.15 
Grenada,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1404.12 ,1405.20 ,1458.91 ,1595.75 ,1617.62 ,1877.50 ,1886.49 ,2048.45 ,2230.14 ,2082.45 ,2081.74 ,2102.37 ,2159.68 ,2274.94 ,2461.21 ,2691.92 ,2866.40 ,3042.58 ,3153.71 ,3211.78 ,2777.27 , 
Guatemala,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,416383.22 ,447326.33 ,476022.82 ,502001.70 ,526507.41 ,550469.98 ,592799.95 ,599235.81 , 
Guinea,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21727824.16 ,26369931.93 ,32047000.97 ,32248417.68 ,39243443.64 ,45175656.16 ,53358077.68 ,57864627.54 ,61573256.75 ,65829149.41 ,77087902.77 ,93833883.94 ,98155900.59 ,114103765.41 ,135321915.49 , 
Guinea-Bissau,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,407463.80 ,348681.64 ,356714.99 ,277936.77 ,302195.25 ,323807.10 ,321039.80 ,307000.30 ,337327.27 ,331626.33 ,360489.21 ,424889.76 ,418640.08 ,465162.29 ,545269.68 ,535783.63 ,548071.93 ,560538.36 ,681303.00 ,737838.00 ,853553.00 ,836013.00 ,843475.00 ,824054.00 , 
Guyana,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,476412.00 ,552603.00 ,616029.00 ,645637.00 ,699064.00 ,753107.00 ,830326.00 ,856042.00 ,852152.00 ,883787.00 ,925677.00 ,980498.00 ,994472.00 ,1078729.00 ,1140757.00 , 
Haiti,Millions,, , , , , , , , , , , , , ,2770.14 ,2979.95 ,3111.88 ,3371.72 ,3203.98 ,3349.31 ,3527.05 ,3597.95 ,4196.57 ,4372.49 ,5621.97 ,6837.73 ,8072.29 ,9369.53 ,10025.47 ,10151.32 ,11361.11 ,13315.87 ,14659.00 ,15246.25 ,16364.24 ,18132.52 ,20135.01 ,22371.97 ,11022.22 ,7247.58 ,6699.71 ,8527.76 ,9193.12 ,8975.56 ,13574.23 ,45088.36 ,70187.23 ,80385.76 ,93067.37 ,108561.36 ,119343.92 ,133691.93 ,150884.95 ,164056.10 ,195267.38 ,239564.08 ,280063.58 ,311615.04 ,356149.44 ,401233.92 ,471795.55 ,478044.25 ,524124.00 ,569992.50 ,642673.67 ,675571.52 ,720255.46 ,844479.03 ,986919.15 ,1076412.65 ,1244013.99 ,1449887.87 , 
Honduras,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,106654.20 ,118415.70 ,129166.60 ,142817.80 ,161507.50 ,183747.40 ,206288.00 ,233567.20 ,262416.90 ,275632.20 ,299286.00 ,335027.80 ,361348.50 ,376539.40 ,414633.50 ,460405.20 ,495921.90 ,543403.00 ,575284.90 ,614917.70 ,585733.60 ,684203.80 
Hungary,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5836483.00 ,7122305.00 ,8834560.00 ,10442818.00 ,11637546.00 ,13324052.00 ,15398700.00 ,17433859.00 ,19133811.00 ,21114159.00 ,22600066.00 ,24352909.00 ,25749398.00 ,27258344.00 ,26529876.00 ,27496693.00 ,28549802.00 ,29006331.00 ,30362703.00 ,32815207.00 ,34975313.00 ,36214066.00 ,39281357.00 ,43392436.00 ,47530610.00 ,48276363.00 ,55256668.00 
Iceland,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,460839.96 ,493834.47 ,536722.36 ,603407.61 ,649719.11 ,709561.32 ,802276.66 ,854139.93 ,876732.71 ,970421.49 ,1061428.26 ,1225716.06 ,1386951.25 ,1589625.14 ,1626390.73 ,1680966.94 ,1765008.67 ,1845159.75 ,1970145.72 ,2086359.61 ,2310847.79 ,2512054.82 ,2641959.40 ,2844409.66 ,3043058.49 ,2928465.59 ,3233001.47 
India,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,34958200.00 ,40486400.00 ,47141900.00 ,54561900.00 ,59895400.00 ,72938200.00 ,85651700.00 ,96370500.00 ,108981300.00 ,122141700.00 ,133907300.00 ,149647100.00 ,166281300.00 ,186830700.00 ,197358000.00 ,191841400.00 ,228433900.00 
Indonesia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5414841900.00 ,6011375000.00 ,6864133100.00 ,7831726000.00 ,8615704500.00 ,9546134000.00 ,10569705300.00 ,11526332800.00 ,12401728500.00 ,13589825700.00 ,14838756000.00 ,15832657200.00 ,15438017500.00 ,16970789200.00 
"Iran, Islamic Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7474935494.12 ,10130403784.01 ,12135344927.77 ,12013495929.62 ,13525217781.88 ,16165015456.27 ,20462465062.36 ,26288891617.31 ,35215143879.57 , 
Iraq,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,16959343.00 ,36382338.90 ,49904215.70 ,36527727.40 ,37123490.40 ,29989132.80 ,53235358.70 ,73533598.60 ,95587954.80 ,111455813.40 ,157026061.60 ,130642187.00 ,162064565.50 ,217327107.40 ,254225490.70 ,273587529.20 ,273603020.37 ,207121627.16 ,197933257.45 ,227348973.01 ,268160751.68 ,276532747.55 ,201828060.36 , 
Ireland,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,54758.74 ,60147.57 ,69400.73 ,80430.81 ,92790.53 ,108495.29 ,122089.17 ,135997.56 ,145576.43 ,156260.29 ,170306.77 ,184916.24 ,197069.40 ,187282.98 ,169519.71 ,167363.07 ,171683.37 ,175512.76 ,179411.21 ,194933.76 ,262800.05 ,270058.10 ,296925.22 ,326042.80 ,356526.26 ,372868.50 ,421529.20 
Israel,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,302952.10 ,351661.40 ,395830.70 ,440808.10 ,485032.70 ,540061.20 ,550173.60 ,573976.60 ,578582.50 ,607630.10 ,640201.30 ,686841.50 ,736014.70 ,777560.60 ,817735.10 ,877368.00 ,938521.10 ,996436.50 ,1062167.10 ,1112538.20 ,1166354.20 ,1225235.40 ,1278840.90 ,1341580.80 ,1418448.80 ,1401406.40 ,1558213.60 
Italy,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,988243.20 ,1045872.70 ,1092357.30 ,1138856.10 ,1175149.50 ,1241512.90 ,1304136.80 ,1350258.90 ,1394693.20 ,1452319.00 ,1493635.30 ,1552686.80 ,1614839.80 ,1637699.40 ,1577255.90 ,1611279.40 ,1648755.80 ,1624358.70 ,1612751.30 ,1627405.60 ,1655355.00 ,1695786.80 ,1736592.80 ,1771391.20 ,1796633.80 ,1656960.70 ,1775436.40 
Jamaica,Millions,,154.60 ,179.80 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,885632.00 ,997444.00 ,1065317.00 ,1152781.00 ,1240702.00 ,1314126.00 ,1432096.00 ,1541904.00 ,1659677.00 ,1760976.00 ,1895025.00 ,2027251.00 ,2110433.00 ,1978530.94 , 
Japan,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,510916100.00 ,521613700.00 ,535562000.00 ,543545300.00 ,536497300.00 ,528069800.00 ,535417700.00 ,531653900.00 ,524478700.00 ,523968600.00 ,529400800.00 ,532515500.00 ,535170200.00 ,539281600.00 ,527823800.00 ,494938400.00 ,505530600.00 ,497448900.00 ,500474800.00 ,508700600.00 ,518811100.00 ,538032300.00 ,544364600.00 ,553073000.00 ,556293700.00 ,558491200.00 ,538155400.00 ,541903400.00 
Jordan,Millions,, , , , , , , , , , , , ,114.48 ,113.19 ,141.70 ,166.84 ,182.01 ,212.33 ,216.79 ,250.19 ,237.98 ,253.08 ,282.81 ,297.32 ,336.64 ,424.63 ,573.94 ,699.66 ,851.71 ,1013.17 ,1201.26 ,1493.82 ,1701.61 ,1842.37 ,1969.31 ,2032.11 ,2310.44 ,2358.08 ,2422.94 ,2501.21 ,2847.29 ,3050.33 ,3763.52 ,4005.51 ,4494.27 ,4861.83 ,5065.51 ,5297.95 ,5784.92 ,5958.05 ,6185.75 ,6562.03 ,7006.03 ,7454.37 ,8343.22 ,9203.97 ,11008.63 ,12510.08 ,16080.14 ,17421.89 ,19265.00 ,20962.15 ,22460.54 ,24462.65 ,26161.83 ,27396.78 ,28323.71 ,29400.00 ,30481.85 ,31597.06 ,31025.27 , 
"Kazakhstan, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2435.22 ,29881.34 ,423469.00 ,1014190.00 ,1415750.00 ,1672140.00 ,1733260.00 ,2016460.00 ,2599900.00 ,3250590.00 ,3776280.00 ,4611980.00 ,5870130.00 ,7590590.00 ,10213730.00 ,12849790.00 ,16052920.00 ,17007650.00 ,21815520.00 ,28243050.00 ,31015190.00 ,35999030.00 ,39675830.00 ,40884130.00 ,46971150.00 ,54378860.00 ,61819540.00 ,69532630.00 ,70714080.00 , 
