Country,Scale,Base Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Poland, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,345060.00 ,431897.00 ,522582.00 ,607103.00 ,674530.00 ,748483.00 ,781548.00 ,812214.00 ,847152.00 ,933091.00 ,990530.00 ,1069431.00 ,1187508.00 ,1285571.00 ,1372025.00 ,1446844.00 ,1565251.00 ,1623442.00 ,1646724.00 ,1711244.00 ,1801112.00 ,1863487.00 ,1989835.00 ,2121555.00 ,2293199.00 ,2338996.00 ,2622184.00 
Portugal,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,89028.56 ,94351.59 ,102330.96 ,111353.38 ,119603.31 ,128414.45 ,135775.01 ,142554.26 ,146067.86 ,152248.39 ,158552.70 ,166260.47 ,175483.40 ,179102.78 ,175416.44 ,179610.78 ,176096.17 ,168295.57 ,170492.27 ,173053.69 ,179713.16 ,186489.81 ,195947.21 ,205184.12 ,214374.62 ,200087.57 ,211277.54 
Qatar,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,723369.00 ,750658.00 ,588733.00 ,552305.00 ,586400.80 ,667339.23 ,641991.41 ,525657.36 , 
Romania,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7610.60 ,11387.70 ,25500.10 ,37007.70 ,55126.40 ,80873.10 ,117391.40 ,152271.50 ,191917.60 ,244688.30 ,286861.90 ,342762.60 ,425691.10 ,539834.60 ,530894.40 ,528514.50 ,558889.90 ,591799.10 ,634967.80 ,669703.90 ,711929.90 ,763652.50 ,857895.70 ,951728.50 ,1058973.20 ,1058926.10 ,1181917.90 
Russian Federation,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14186870.10 ,18288784.80 ,23210895.70 ,28911574.80 ,35710917.90 ,44335170.60 ,41682557.90 ,49739675.40 ,60114000.80 ,68103449.60 ,72985701.10 ,79030040.10 ,83087360.10 ,85616083.70 ,91843154.30 ,103861651.00 ,109241536.40 ,106967459.40 , 
Rwanda,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,607000.00 ,676000.00 ,742000.00 ,797000.00 ,993000.00 ,1206000.00 ,1440000.00 ,1831000.00 ,2226000.00 ,2832000.00 ,3224000.00 ,3571000.00 ,4133000.00 ,4703000.00 ,5056000.00 ,5623000.00 ,6152000.00 ,6847000.00 ,7694000.00 ,8302000.00 ,9314000.00 ,9607000.00 ,10944000.00 
Samoa,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1732.20 ,1784.60 ,1679.50 ,1719.60 ,1762.90 ,1731.40 ,1765.40 ,1819.90 ,2014.90 ,2108.00 ,2107.10 ,2159.20 ,2243.80 ,2063.10 , 
"San Marino, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1817.50 ,1878.60 ,1700.80 ,1615.30 ,1477.50 ,1401.40 ,1404.65 ,1390.52 ,1279.30 ,1326.53 ,1353.14 ,1401.71 ,1443.74 ,1361.76 , 
"SÃ£o TomÃ© and PrÃ­ncipe, Dem. Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,612.38 ,633.37 ,725.82 ,893.11 ,1034.65 ,1321.29 ,1659.71 ,1957.64 ,2763.01 ,3044.29 ,3652.62 ,4109.91 ,4815.93 ,5588.96 ,6443.70 ,7030.70 ,7697.73 ,8153.80 ,8618.99 ,9424.29 ,10247.30 , 
Saudi Arabia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1230771.40 ,1411491.40 ,1558827.50 ,1949238.30 ,1609117.00 ,1980777.40 ,2517146.00 ,2759905.70 ,2799926.70 ,2836313.50 ,2453511.80 ,2418508.30 ,2582197.90 ,3062170.00 ,3013561.00 ,2637628.80 ,3125779.20 
Senegal,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4057714.20 ,4270611.96 ,4766315.89 ,4860433.96 ,5084959.06 ,5313888.67 ,5804604.95 ,6111292.25 ,6698104.79 ,7516880.06 ,7593295.29 ,7976734.61 ,8394956.69 ,9016869.32 ,9343922.88 ,9775039.00 ,10508650.00 ,11283396.00 ,12191800.00 ,12840090.00 ,13655367.00 ,14185436.88 , 
"Serbia, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,59587.44 ,117162.71 ,151807.12 ,195179.05 ,226100.94 ,434318.96 ,867237.62 ,1102557.28 ,1294655.97 ,1526204.71 ,1846853.21 ,2181034.63 ,2523495.52 ,2908444.69 ,3052135.47 ,3250581.33 ,3612266.59 ,3810057.93 ,4121200.15 ,4160548.46 ,4315020.40 ,4528191.88 ,4760686.35 ,5072932.24 ,5421851.31 ,5502216.27 ,6268713.99 
Seychelles,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,942.00 ,972.00 ,968.00 ,993.00 ,1068.00 ,1205.00 ,1284.00 ,1396.00 ,1528.00 ,1721.00 ,1967.00 ,1980.00 ,2221.00 ,2456.00 ,2459.00 ,2420.00 ,2500.00 ,2830.00 ,3201.00 ,3328.00 ,3513.00 ,3645.00 ,3822.00 ,3811.00 ,4616.00 ,5055.00 ,5610.00 ,6926.00 ,9147.00 ,11533.00 ,11705.00 ,12609.00 ,14519.00 ,16015.00 ,17119.00 ,18340.00 ,18989.00 ,20858.00 ,21540.00 ,22192.00 ,20021.00 , 
Sierra Leone,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2165832.45 ,2630761.75 ,3253743.47 ,3912932.00 ,4769247.89 ,5583531.17 ,6443514.21 ,7470061.96 ,8308046.02 ,10255614.19 ,12797612.94 ,16515434.13 ,21317382.46 ,22689470.64 ,21583562.42 ,24296286.12 ,27610770.14 ,32530202.99 ,37285096.33 ,41508067.28 , 
Singapore,Millions,, , , , , , , , , , ,2157.40 ,2340.70 ,2529.30 ,2809.00 ,2737.20 ,2983.60 ,3356.40 ,3789.90 ,4364.40 ,5081.30 ,5879.30 ,6929.90 ,8302.30 ,10395.60 ,12831.40 ,13728.70 ,15003.40 ,16353.20 ,18337.40 ,21141.20 ,25869.60 ,30352.00 ,33981.20 ,38058.00 ,41730.40 ,40862.80 ,40892.70 ,45549.50 ,53432.30 ,61308.50 ,70492.30 ,78542.80 ,84920.20 ,97923.10 ,112555.40 ,124463.30 ,135777.20 ,148664.40 ,143474.90 ,146252.50 ,165632.40 ,160885.60 ,165698.10 ,170117.90 ,194433.00 ,212723.00 ,236158.80 ,272697.60 ,273941.60 ,282394.50 ,326980.10 ,351367.90 ,368770.50 ,384870.30 ,398947.90 ,423444.10 ,440372.20 ,474115.10 ,507123.90 ,510737.80 ,469095.90 , 
Slovak Rep.,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19767.71 ,22032.85 ,24456.11 ,26688.28 ,28583.55 ,31661.07 ,34365.53 ,37329.50 ,41479.50 ,46175.21 ,50485.66 ,56361.43 ,63163.35 ,68590.53 ,64095.52 ,68492.15 ,71477.10 ,73360.84 ,74217.29 ,76092.68 ,79888.15 ,81014.25 ,84442.87 ,89430.03 ,94048.03 ,92079.25 ,97122.51 
"Slovenia, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10560.81 ,12147.29 ,13836.53 ,15351.77 ,17226.58 ,18853.12 ,21147.70 ,23548.61 ,25613.28 ,27628.19 ,29113.56 ,31470.34 ,35073.46 ,37925.70 ,36254.93 ,36363.91 ,37058.57 ,36253.27 ,36454.33 ,37634.29 ,38852.64 ,40443.22 ,43011.34 ,45864.25 ,48396.70 ,46918.05 ,52020.15 
Solomon Islands,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3150.40 ,3520.10 ,4183.60 ,4720.10 ,5346.50 ,6044.60 ,6520.70 ,7278.60 ,8169.50 ,8760.40 ,9381.50 ,9850.30 ,10345.20 ,10956.90 ,11703.30 ,12522.32 ,12833.33 ,12697.33 , 
Somalia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3499.02 ,3610.99 ,3892.40 ,3963.53 ,4048.86 ,4198.49 ,4508.85 ,4651.06 ,5061.34 ,4989.67 , 
South Africa,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,480994.50 ,545092.60 ,622900.80 ,701803.90 ,778644.50 ,845733.40 ,925690.40 ,1053138.00 ,1165940.60 ,1360679.30 ,1490399.00 ,1652434.10 ,1837001.40 ,2057593.90 ,2346649.90 ,2611630.80 ,2794228.40 ,3055613.20 ,3327047.00 ,3566385.00 ,3868630.20 ,4133873.00 ,4420792.50 ,4759554.50 ,5078189.90 ,5357640.10 ,5605033.90 ,5521075.10 ,6206253.10 
"South Sudan, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,51629.78 ,33237.09 ,44093.33 ,45380.85 ,52876.26 ,164373.95 ,397138.12 ,660314.59 ,725236.60 ,736556.50 , 
Spain,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,460588.00 ,489203.00 ,519268.00 ,555993.00 ,595723.00 ,647851.00 ,700993.00 ,749552.00 ,802266.00 ,859437.00 ,927357.00 ,1003823.00 ,1075539.00 ,1109541.00 ,1069323.00 ,1072709.00 ,1063763.00 ,1031099.00 ,1020348.00 ,1032158.00 ,1077590.00 ,1113840.00 ,1161867.00 ,1203259.00 ,1244375.00 ,1121948.00 ,1205063.00 
Sri Lanka,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6413668.00 ,7219106.00 ,8732463.00 ,9592125.00 ,10361151.00 ,10950621.00 ,11996083.00 ,13328103.00 ,14290907.00 ,15012953.00 ,14972995.00 , 
St. Kitts and Nevis,Millions,, , , , , , , , , , , , ,1.69 ,4.88 ,6.14 ,7.73 ,9.72 ,12.02 ,14.91 ,18.55 ,23.12 ,28.97 ,35.70 ,43.68 ,54.34 ,65.70 ,81.96 ,102.33 ,113.07 ,129.72 ,156.17 ,186.79 ,213.27 ,210.17 ,244.92 ,272.94 ,321.00 ,367.22 ,435.21 ,484.52 ,547.94 ,544.03 ,601.59 ,656.00 ,733.07 ,789.77 ,842.61 ,948.31 ,988.46 ,1049.39 ,1136.84 ,1237.08 ,1297.63 ,1267.36 ,1368.65 ,1477.43 ,1739.92 ,1861.07 ,2099.77 ,2090.54 ,2102.54 ,2257.45 ,2230.83 ,2363.52 ,2575.97 ,2587.70 ,2724.14 ,2863.72 ,2911.97 ,3145.17 ,2648.45 , 
St. Lucia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3400.00 ,3600.00 ,3900.00 ,3800.00 ,4000.00 ,4300.00 ,4300.00 ,4500.00 ,4700.00 ,4900.00 ,5000.00 ,5400.00 ,5600.00 ,5700.00 ,4400.00 , 
St. Vincent and the Grenadines,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1896.60 ,2050.70 ,2278.10 ,2254.90 ,2283.80 ,2338.88 ,2378.41 ,2327.75 , 
Sudan,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5.00 ,6.00 ,6.00 ,8.00 ,10.00 ,13.00 ,19.00 ,34.00 ,43.00 ,76.00 ,101.00 ,177.00 ,302.00 ,836.00 ,1726.00 ,3888.00 ,10478.00 ,16137.00 ,21936.00 ,27059.00 ,33771.00 ,40659.00 ,47756.00 ,55734.00 ,68721.00 ,85707.00 ,98292.00 ,119837.00 ,135512.00 ,134215.00 ,170993.00 ,209071.00 ,225798.00 ,314076.00 ,440700.00 ,506366.00 ,743896.00 ,866958.00 ,1361930.00 ,2029750.00 ,5172180.00 , 
Suriname,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17514.65 ,20662.99 ,26893.28 ,29821.68 ,31482.51 ,38353.28 , 
Sweden,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1657501.00 ,1767223.00 ,1906773.00 ,1956434.00 ,2047269.00 ,2152905.00 ,2264494.00 ,2408151.00 ,2503731.00 ,2598336.00 ,2703551.00 ,2830194.00 ,2931085.00 ,3121668.00 ,3320278.00 ,3412253.00 ,3341167.00 ,3573581.00 ,3727905.00 ,3743086.00 ,3822671.00 ,3992730.00 ,4260470.00 ,4415031.00 ,4625094.00 ,4828306.00 ,5049619.00 ,4987264.00 ,5381263.00 
Switzerland,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,205542.88 ,220656.65 ,233768.96 ,240831.33 ,257403.42 ,272919.04 ,286427.52 ,297351.12 ,315665.83 ,340726.64 ,369509.23 ,385929.29 ,393956.52 ,402596.44 ,412537.28 ,417579.20 ,420822.45 ,428309.62 ,440568.64 ,448437.47 ,472595.74 ,484723.49 ,483439.96 ,488937.34 ,504278.20 ,523662.57 ,556438.83 ,592442.27 ,617696.48 ,607377.28 ,629325.24 ,641200.31 ,648980.52 ,660648.77 ,672818.21 ,675735.65 ,685440.98 ,693694.13 ,719271.62 ,727212.15 ,706241.81 ,742835.06 
Syrian Arab Rep.,Millions,, , , , , , , , , , , , ,4319.97 ,4443.61 ,5141.21 ,5065.77 ,5202.71 ,5728.71 ,5662.42 ,6735.37 ,6605.82 ,7688.50 ,9419.93 ,10967.20 ,15090.57 ,20377.30 ,24733.73 ,27264.40 ,32695.00 ,38974.00 ,51270.00 ,65777.00 ,68788.00 ,73291.00 ,75342.00 ,83225.00 ,99933.00 ,127712.01 ,186047.01 ,208892.01 ,268328.00 ,311564.00 ,371630.00 ,413755.00 ,506101.00 ,570975.00 ,690857.00 ,745569.00 ,790444.00 ,819092.00 ,947130.00 ,1010152.00 ,1118106.00 ,1074163.00 ,1266891.00 ,1506440.00 ,1726404.00 ,2020838.00 ,2448060.00 ,2520705.00 ,2791775.00 , , , , , , , , , , , 
"Tajikistan, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1025.20 ,1345.00 ,1806.70 ,2512.10 ,3344.60 ,4757.80 ,6157.53 ,7201.14 ,9272.20 ,12779.70 ,17609.30 ,20622.80 ,24704.70 ,30069.30 ,36161.10 ,40524.50 ,45605.20 ,48401.60 ,54471.10 ,61093.00 ,68844.00 ,77354.70 ,82543.00 , 
"Tanzania, United Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,62318659.04 ,72977199.82 ,82603387.74 ,94349315.56 ,108362324.29 ,118744498.44 ,129043901.31 ,139641854.50 ,148522111.49 , 
Thailand,Millions,,22610.00 ,27190.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2263478.00 ,2583487.00 ,2935639.00 ,3263429.00 ,3689091.00 ,4217612.00 ,4638607.00 ,4710309.00 ,4701553.00 ,4789827.00 ,5069821.00 ,5345004.00 ,5769577.00 ,6317303.00 ,6954281.00 ,7614413.00 ,8400647.00 ,9076303.00 ,9706929.00 ,9658664.00 ,10808142.00 ,11306907.00 ,12357344.00 ,12915159.00 ,13230306.00 ,13743478.00 ,14590337.00 ,15488664.00 ,16373340.00 ,16892410.00 ,15636891.00 , 
"Timor-Leste, Dem. Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,477.40 ,469.50 ,490.40 ,440.80 ,462.30 ,453.80 ,542.80 ,648.50 ,726.90 ,881.80 ,1042.40 ,1160.40 ,1395.50 ,1447.30 ,1594.40 ,1650.60 ,1615.60 ,1583.90 ,2047.90 ,1902.20 , 
Togo,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3574400.00 ,3713574.00 ,3950447.00 ,4230509.00 ,4359854.00 , 
Tonga,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,258.75 ,265.46 ,273.61 ,271.64 ,285.73 ,315.30 ,335.77 ,354.48 ,398.39 ,444.03 ,471.86 ,507.44 ,587.07 ,597.83 ,654.69 ,651.53 ,707.60 ,759.45 ,797.81 ,781.33 ,797.19 ,849.15 ,932.59 ,1017.67 ,1073.22 ,1164.01 ,1129.25 , 
Trinidad and Tobago,Millions,, ,331.00 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,149208.60 ,157150.10 ,161284.30 ,161335.30 ,144422.10 , 
Tunisia,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,66139.74 ,67747.33 ,73895.36 ,79096.65 ,85345.66 ,89802.18 ,95286.95 ,102011.52 ,112679.24 ,122671.36 ,117053.07 , 
Turkey,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,71944.70 ,107374.26 ,171494.21 ,247266.21 ,362109.65 ,472171.78 ,582852.80 ,680275.85 ,795757.11 ,887714.41 ,1002756.50 ,1006372.48 ,1167664.48 ,1404927.62 ,1581479.25 ,1823427.32 ,2054897.83 ,2350941.34 ,2626559.71 ,3133704.27 ,3758773.73 ,4317786.91 ,5046883.31 ,7209040.47 
Turkmenistan,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0.13 ,3.31 ,29.88 ,223.40 ,2655.97 ,3806.22 ,4795.12 ,6872.15 ,8947.81 ,12353.22 ,15500.62 ,20354.34 ,25293.02 ,30598.14 ,38115.81 ,46255.52 ,84749.77 ,98696.56 ,99400.60 ,128685.28 ,147504.99 ,151402.36 ,165005.27 ,147566.80 ,134758.03 ,144848.93 ,142667.00 ,161923.39 ,159630.15 , 
Tuvalu,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,26.00 ,27.00 ,31.00 ,30.00 ,31.00 ,30.00 ,32.00 ,34.00 ,38.00 ,36.00 ,35.00 ,38.00 ,38.00 ,40.00 ,43.00 ,49.00 ,56.00 ,59.00 ,64.00 ,78.00 ,80.00 , 
Uganda,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17506861.15 ,41611242.70 ,53878025.24 ,60329999.37 ,75611401.32 ,58138590.97 ,95651002.49 ,95105629.88 ,104365319.83 ,113242730.95 ,123489497.87 ,137305409.14 ,136548899.80 , 
Ukraine,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,175887.81 ,203403.48 ,225521.41 ,267147.97 ,344385.91 ,440494.84 ,544224.60 ,723464.31 ,954355.56 ,912189.61 ,1079346.00 ,1299991.00 ,1404669.00 ,1465198.00 ,1586915.00 ,1988544.00 ,2385367.00 ,2982920.00 ,3560302.00 ,3977198.00 ,4191864.00 , 
United Arab Emirates,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1064244.00 ,1287821.00 ,1375684.00 ,1432670.00 ,1480521.00 ,1315251.00 ,1311248.00 ,1416136.00 ,1550585.00 ,1532224.00 ,1317946.00 , 
United Kingdom,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,853228.00 ,911191.00 ,952585.00 ,998318.00 ,1041970.00 ,1098500.00 ,1142023.00 ,1190336.00 ,1259970.00 ,1322795.00 ,1399656.00 ,1476722.00 ,1552470.00 ,1598752.00 ,1557120.00 ,1612195.00 ,1669509.00 ,1721355.00 ,1793155.00 ,1876162.00 ,1935212.00 ,2016638.00 ,2097143.00 ,2174380.00 ,2255283.00 ,2150381.00 ,2317054.00 
United States,Millions,,299827.30 ,346913.30 ,367340.80 ,389217.50 ,390549.00 ,425479.50 ,449352.50 ,474039.50 ,481228.50 ,521654.30 ,542382.30 ,562209.80 ,603921.50 ,637451.50 ,684461.50 ,742290.30 ,813413.80 ,859956.30 ,940646.50 ,1017615.00 ,1073310.50 ,1164849.80 ,1279112.00 ,1425376.00 ,1545242.50 ,1684905.00 ,1873412.50 ,2081825.00 ,2351598.80 ,2627326.30 ,2857308.50 ,3207041.30 ,3343789.30 ,3634036.50 ,4037614.00 ,4338980.50 ,4579632.50 ,4855216.30 ,5236438.00 ,5641579.50 ,5963144.50 ,6158129.30 ,6520327.30 ,6858558.50 ,7287236.50 ,7639749.30 ,8073121.80 ,8577552.50 ,9062816.80 ,9631171.80 ,10250952.00 ,10581929.00 ,10929108.30 ,11456449.50 ,12217195.80 ,13039197.00 ,13815583.00 ,14474227.00 ,14769861.50 ,14478066.80 ,15048970.00 ,15599731.80 ,16253970.00 ,16843195.80 ,17550687.80 ,18206023.50 ,18695105.80 ,19479622.50 ,20527158.80 ,21372582.30 ,20893745.50 ,22996086.00 
Uruguay,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1726406.25 ,1841998.93 ,1982243.91 ,2158728.68 ,2253124.02 , 
"Uzbekistan, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,77.09 ,556.45 ,6387.13 ,81327.83 ,379564.82 ,700830.43 ,1224513.05 ,1775235.30 ,2668398.37 ,4081041.64 ,6174199.05 ,9339311.63 ,12332252.78 ,15369874.50 ,19960905.27 ,26022986.35 ,35333036.17 ,47317677.32 ,61477676.80 ,79330537.23 ,100763272.71 ,126513150.11 ,153004343.79 ,187300583.18 ,224992752.60 ,259675601.59 ,316238401.85 ,403581816.60 ,537592357.74 ,611235038.40 , 
Vanuatu,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48611.00 ,52898.00 ,59863.00 ,63257.00 ,64996.00 ,68905.00 ,69278.00 ,71692.00 ,74970.00 ,79657.00 ,84707.00 ,94887.00 ,100771.00 ,107450.00 ,101931.00 , 
Vietnam,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,228892000.00 ,272036000.00 ,313623000.00 ,361016000.00 ,399942000.00 ,441646000.00 ,481295000.00 ,535762000.00 ,613443000.00 ,715307000.00 ,914001000.00 ,1061565000.00 ,1246769000.00 ,1616047000.00 ,1809149000.00 ,2157828000.00 ,2779880000.00 ,3245419000.00 ,3584262000.00 ,3937856000.00 ,4192862000.00 ,4502733000.00 ,5005975000.00 ,5542332000.00 ,6037347630.00 ,6293144900.00 , 
West Bank and Gaza,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2832.60 ,3260.30 ,3425.10 ,3756.90 ,4056.20 ,4252.30 ,4314.20 ,3985.70 ,3558.40 ,3979.80 ,4466.30 ,5052.20 ,5205.40 ,5645.10 ,7101.10 ,7798.80 , , , , , , , ,16128.00 ,16276.60 ,17133.50 ,15531.70 , 
"Yemen, Rep. of",Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,147958.00 ,176132.00 ,215692.00 ,261059.00 ,336514.00 ,518252.00 ,741667.00 ,884192.00 ,859104.00 ,1189857.00 ,1558370.00 ,1662101.00 ,1878007.00 ,2160608.00 ,2563490.00 ,3208501.00 ,3760038.23 ,4308635.62 ,5375824.69 ,5097593.18 ,6786813.13 ,6996908.14 ,7586549.62 ,8684829.51 ,9289390.70 ,9797602.98 ,8891000.00 ,10006000.00 ,11578730.91 ,12606261.15 ,13998613.39 , 
Zambia,Millions,, , , , , , , , , , , , ,0.35 ,0.32 ,0.39 ,0.50 ,0.63 ,0.75 ,0.89 ,1.08 ,0.96 ,1.01 ,1.17 ,1.23 ,1.42 ,1.53 ,1.89 ,2.17 ,2.46 ,2.91 ,3.35 ,3.81 ,3.93 ,4.57 ,5.39 ,7.73 ,14.33 ,21.61 ,33.68 ,60.30 ,123.72 ,238.51 ,622.35 ,1619.49 ,2447.76 ,3289.69 ,4345.08 ,5656.66 ,6587.52 ,8129.50 ,11201.00 ,14784.76 ,18447.05 ,23201.88 ,29729.91 ,37189.30 ,45964.24 ,56262.97 ,67088.70 ,77348.35 ,97215.92 ,114029.67 ,131271.90 ,151330.78 ,167052.50 ,183381.07 ,216098.08 ,246251.78 ,275174.50 ,300448.73 ,354396.17 , 
Zimbabwe,Millions,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10144.00 ,9450.00 ,7793.00 ,7569.00 ,7959.00 ,8263.00 ,10117.00 ,10386.00 ,12099.00 ,11769.00 ,11340.00 ,11244.00 ,10735.00 ,9574.00 ,9465.00 ,9046.00 ,8141.00 ,7785.00 ,6707.00 ,9666.00 ,12042.00 ,14102.00 ,17115.00 ,19091.00 ,19496.00 ,19963.00 ,20549.00 ,22041.00 ,23516.00 ,159641.00 ,1124670.00 , 
